Timestamp,Hour,Plant_Type,Growth_Stage,NDVI_Camera_Index,Sunlight_Actual,Sunlight_Forecast,Price_PLN_kWh,CO2_g_kWh,Target_DLI,Max_Threshold_Lux
2026-01-01 00:00:00,0,Primula,0.67,0.53,0.0,0.0,0.45,578,16.06,400
2026-01-01 01:00:00,1,Aglaonema,0.46,0.39,0.0,0.0,0.59,664,8.6,600
2026-01-01 02:00:00,2,Primula,0.34,0.22,0.0,0.0,0.41,541,10.12,400
2026-01-01 03:00:00,3,Tomato,0.83,0.69,0.0,0.0,0.43,536,26.6,800
2026-01-01 04:00:00,4,Primula,0.3,0.26,0.0,0.0,0.51,614,9.4,400
2026-01-01 05:00:00,5,Orchid,0.86,0.73,0.0,0.0,0.46,658,8.88,200
2026-01-01 06:00:00,6,Orchid,0.18,0.18,0.0,0.0,0.48,746,3.44,200
2026-01-01 07:00:00,7,Orchid,0.68,0.51,31.49,28.42,1.07,856,7.44,200
2026-01-01 08:00:00,8,Tomato,0.74,0.61,461.67,416.63,1.39,1002,24.8,800
2026-01-01 09:00:00,9,Tomato,0.68,0.53,395.26,428.98,1.22,961,23.6,800
2026-01-01 10:00:00,10,Orchid,0.58,0.42,280.29,321.95,0.52,561,6.64,200
2026-01-01 11:00:00,11,Tomato,0.74,0.63,721.68,796.07,0.57,453,24.8,800
2026-01-01 12:00:00,12,Aglaonema,0.33,0.27,514.43,461.27,0.49,615,7.3,600
2026-01-01 13:00:00,13,Tomato,0.26,0.21,700.85,723.9,0.44,471,15.2,800
2026-01-01 14:00:00,14,Aglaonema,0.38,0.28,655.81,632.44,0.47,723,7.8,600
2026-01-01 15:00:00,15,Orchid,0.98,0.82,109.04,116.67,0.55,452,9.84,200
2026-01-01 16:00:00,16,Tomato,0.64,0.54,589.66,592.37,0.57,560,22.8,800
2026-01-01 17:00:00,17,Primula,0.63,0.54,332.39,283.38,1.23,1026,15.34,400
2026-01-01 18:00:00,18,Primula,0.76,0.66,92.64,95.87,1.23,1100,17.68,400
2026-01-01 19:00:00,19,Tomato,0.64,0.51,0.0,0.0,1.17,1053,22.8,800
